STATE,Total Citizen Population (Number in thousand),Total registered (Number in thousand),Total voted (Number in thousand)
ARIZONA,"4,169","2,874","2,497"
GEORGIA,"6,515","4,624","4,183"
MICHIGAN,"7,176","5,531","4,865"
NEVADA,"1,714","1,147","1,027"
NORTH CAROLINA,"6,477","4,902","4,370"
PENNSYLVANIA,"9,206","6,451","5,747"
WISCONSIN,"4,053","3,095","2,887"
TOTAL,"39,310","28,624","25,576"
