,,,,,,
STATE,ELECTORAL VOTE,ELECTORAL VOTE,POPULAR VOTE,POPULAR VOTE,POPULAR VOTE,POPULAR VOTE
,Kerry (D),Bush (R),Kerry (D),Bush (R),All Others,Total Vote
AZ,,10,"893,524","1,104,294","14,767","2,012,585"
GA,,15,"1,366,149","1,914,254","21,472","3,301,875"
MI,17,,"2,479,183","2,313,746","46,323","4,839,252"
NV,,5,"397,190","418,690","13,707","829,587"
NC,,15,"1,525,849","1,961,166","13,992","3,501,007"
PA,21,,"2,938,095","2,793,847","37,648","5,769,590"
WI,10,,"1,489,504","1,478,120","29,383","2,997,007"
