,AZ,,,,,,,,,,,,GA,,,,,,,,,,,,MI,,,,,,,,,,,,NV,,,,,,,,,,,,NC,,,,,,,,,,,,PA,,,,,,,,,,,,WI,,,,,,,,,,,
Label (Grouping),Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error
Total population,"7,431,344",*****,(X),(X),"3,708,672","±2,905",(X),(X),"3,722,672","±2,905",(X),(X),"11,029,227",*****,(X),(X),"5,378,504","±7,549",(X),(X),"5,650,723","±7,549",(X),(X),"10,037,261",*****,(X),(X),"4,965,517","±4,782",(X),(X),"5,071,744","±4,782",(X),(X),"3,194,176",*****,(X),(X),"1,607,494","±2,547",(X),(X),"1,586,682","±2,547",(X),(X),"10,835,491",*****,(X),(X),"5,312,054","±7,257",(X),(X),"5,523,437","±7,257",(X),(X),"12,961,683",*****,(X),(X),"6,389,335","±4,098",(X),(X),"6,572,348","±4,098",(X),(X),"5,910,955",*****,(X),(X),"2,959,408","±3,694",(X),(X),"2,951,547","±3,694",(X),(X)
    AGE,,,,,,,,,GA+Z1:AI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        35 to 39 years,"475,102","±12,649",6.40%,±0.2,"245,022","±8,047",6.60%,±0.2,"230,080","±7,091",6.20%,±0.2,"739,394","±14,801",6.70%,±0.1,"360,989","±8,709",6.70%,±0.2,"378,405","±10,085",6.70%,±0.2,"617,475","±10,446",6.20%,±0.1,"308,290","±6,830",6.20%,±0.1,"309,185","±6,895",6.10%,±0.1,"226,041","±8,005",7.10%,±0.3,"114,131","±5,087",7.10%,±0.3,"111,910","±4,514",7.10%,±0.3,"702,717","±14,368",6.50%,±0.1,"345,834","±8,884",6.50%,±0.2,"356,883","±9,840",6.50%,±0.2,"860,853","±12,605",6.60%,±0.1,"434,490","±9,104",6.80%,±0.1,"426,363","±7,369",6.50%,±0.1,"379,586","±6,977",6.40%,±0.1,"193,661","±5,035",6.50%,±0.2,"185,925","±4,216",6.30%,±0.1
        40 to 44 years,"467,226","±12,283",6.30%,±0.2,"236,596","±8,107",6.40%,±0.2,"230,630","±6,931",6.20%,±0.2,"747,522","±13,158",6.80%,±0.1,"354,385","±8,527",6.60%,±0.2,"393,137","±8,960",7.00%,±0.2,"611,978","±10,704",6.10%,±0.1,"306,223","±6,929",6.20%,±0.1,"305,755","±7,434",6.00%,±0.1,"220,694","±7,600",6.90%,±0.2,"114,595","±4,942",7.10%,±0.3,"106,099","±4,626",6.70%,±0.3,"702,189","±15,178",6.50%,±0.1,"339,442","±8,837",6.40%,±0.2,"362,747","±10,403",6.60%,±0.2,"799,306","±11,807",6.20%,±0.1,"401,043","±9,133",6.30%,±0.1,"398,263","±7,458",6.10%,±0.1,"371,818","±7,436",6.30%,±0.1,"185,872","±4,759",6.30%,±0.2,"185,946","±4,871",6.30%,±0.2
        45 to 49 years,"424,460","±2,938",5.70%,±0.1,"212,790","±1,957",5.70%,±0.1,"211,670","±1,964",5.70%,±0.1,"683,951","±7,024",6.20%,±0.1,"330,763","±4,573",6.10%,±0.1,"353,188","±5,100",6.30%,±0.1,"567,058","±3,032",5.60%,±0.1,"281,746","±2,278",5.70%,±0.1,"285,312","±2,215",5.60%,±0.1,"195,940","±2,092",6.10%,±0.1,"98,923","±1,449",6.20%,±0.1,"97,017","±1,364",6.10%,±0.1,"652,884","±7,397",6.00%,±0.1,"316,123","±4,237",6.00%,±0.1,"336,761","±4,859",6.10%,±0.1,"726,879","±4,482",5.60%,±0.1,"365,805","±3,123",5.70%,±0.1,"361,074","±3,097",5.50%,±0.1,"333,758","±2,865",5.60%,±0.1,"170,751","±1,643",5.80%,±0.1,"163,007","±2,171",5.50%,±0.1
        50 to 54 years,"438,405","±2,654",5.90%,±0.1,"218,268","±1,947",5.90%,±0.1,"220,137","±1,338",5.90%,±0.1,"722,758","±6,869",6.60%,±0.1,"353,385","±5,018",6.60%,±0.1,"369,373","±3,821",6.50%,±0.1,"627,278","±2,838",6.20%,±0.1,"312,435","±1,878",6.30%,±0.1,"314,843","±2,139",6.20%,±0.1,"205,130","±2,169",6.40%,±0.1,"103,754","±1,453",6.50%,±0.1,"101,376","±1,250",6.40%,±0.1,"700,335","±5,834",6.50%,±0.1,"345,824","±3,733",6.50%,±0.1,"354,511","±3,773",6.40%,±0.1,"797,213","±3,822",6.20%,±0.1,"396,730","±2,780",6.20%,±0.1,"400,483","±2,473",6.10%,±0.1,"354,763","±2,628",6.00%,±0.1,"180,329","±1,765",6.10%,±0.1,"174,434","±1,758",5.90%,±0.1
        55 to 59 years,"412,511","±9,767",5.60%,±0.1,"200,473","±5,934",5.40%,±0.2,"212,038","±6,384",5.70%,±0.2,"667,422","±11,270",6.10%,±0.1,"322,848","±6,946",6.00%,±0.1,"344,574","±7,954",6.10%,±0.1,"640,195","±8,014",6.40%,±0.1,"319,486","±6,678",6.40%,±0.1,"320,709","±6,058",6.30%,±0.1,"192,508","±4,744",6.00%,±0.1,"95,754","±3,616",6.00%,±0.2,"96,754","±3,359",6.10%,±0.2,"675,234","±12,286",6.20%,±0.1,"326,532","±8,458",6.10%,±0.2,"348,702","±7,286",6.30%,±0.1,"835,881","±11,882",6.40%,±0.1,"409,113","±8,552",6.40%,±0.1,"426,768","±6,636",6.50%,±0.1,"381,987","±6,196",6.50%,±0.1,"192,344","±4,090",6.50%,±0.1,"189,643","±4,268",6.40%,±0.1
        60 to 64 years,"467,831","±9,747",6.30%,±0.1,"228,408","±6,030",6.20%,±0.2,"239,423","±6,406",6.40%,±0.2,"671,205","±11,405",6.10%,±0.1,"323,404","±6,946",6.00%,±0.1,"347,801","±7,649",6.20%,±0.1,"697,295","±8,446",6.90%,±0.1,"338,291","±6,937",6.80%,±0.1,"359,004","±5,802",7.10%,±0.1,"202,489","±4,728",6.30%,±0.1,"102,126","±3,664",6.40%,±0.2,"100,363","±3,404",6.30%,±0.2,"695,066","±11,619",6.40%,±0.1,"334,195","±7,901",6.30%,±0.2,"360,871","±7,373",6.50%,±0.1,"901,515","±11,928",7.00%,±0.1,"443,782","±8,643",6.90%,±0.1,"457,733","±6,697",7.00%,±0.1,"419,185","±5,766",7.10%,±0.1,"206,300","±4,212",7.00%,±0.1,"212,885","±3,788",7.20%,±0.1
        65 to 69 years,"423,759","±7,227",5.70%,±0.1,"201,481","±4,223",5.40%,±0.1,"222,278","±5,017",6.00%,±0.1,"564,304","±9,540",5.10%,±0.1,"265,836","±5,279",4.90%,±0.1,"298,468","±7,637",5.30%,±0.1,"637,646","±8,136",6.40%,±0.1,"304,325","±4,684",6.10%,±0.1,"333,321","±5,897",6.60%,±0.1,"177,646","±5,737",5.60%,±0.2,"83,139","±3,482",5.20%,±0.2,"94,507","±3,791",6.00%,±0.2,"624,894","±9,762",5.80%,±0.1,"294,778","±7,000",5.50%,±0.1,"330,116","±6,440",6.00%,±0.1,"823,450","±10,138",6.40%,±0.1,"394,965","±6,714",6.20%,±0.1,"428,485","±6,341",6.50%,±0.1,"378,204","±6,475",6.40%,±0.1,"184,685","±3,801",6.20%,±0.1,"193,519","±4,281",6.60%,±0.1
        70 to 74 years,"384,473","±7,768",5.20%,±0.1,"175,346","±4,451",4.70%,±0.1,"209,127","±5,318",5.60%,±0.1,"466,760","±9,314",4.20%,±0.1,"207,419","±5,499",3.90%,±0.1,"259,341","±6,913",4.60%,±0.1,"522,354","±8,231",5.20%,±0.1,"247,461","±4,911",5.00%,±0.1,"274,893","±5,598",5.40%,±0.1,"154,772","±5,327",4.80%,±0.2,"75,757","±3,159",4.70%,±0.2,"79,015","±3,762",5.00%,±0.2,"516,826","±9,240",4.80%,±0.1,"230,252","±6,489",4.30%,±0.1,"286,574","±6,088",5.20%,±0.1,"687,134","±9,658",5.30%,±0.1,"321,492","±6,334",5.00%,±0.1,"365,642","±6,348",5.60%,±0.1,"306,481","±6,489",5.20%,±0.1,"150,246","±3,751",5.10%,±0.1,"156,235","±4,435",5.30%,±0.2
        75 to 79 years,"305,244","±6,290",4.10%,±0.1,"149,214","±4,258",4.00%,±0.1,"156,030","±4,058",4.20%,±0.1,"335,485","±7,337",3.00%,±0.1,"145,934","±4,547",2.70%,±0.1,"189,551","±5,327",3.40%,±0.1,"350,815","±7,002",3.50%,±0.1,"164,775","±4,030",3.30%,±0.1,"186,040","±4,697",3.70%,±0.1,"112,201","±4,531",3.50%,±0.1,"54,323","±2,826",3.40%,±0.2,"57,878","±3,143",3.60%,±0.2,"375,002","±8,302",3.50%,±0.1,"168,194","±4,783",3.20%,±0.1,"206,808","±5,930",3.70%,±0.1,"481,963","±7,672",3.70%,±0.1,"215,378","±4,775",3.40%,±0.1,"266,585","±5,294",4.10%,±0.1,"200,957","±5,076",3.40%,±0.1,"93,216","±2,785",3.10%,±0.1,"107,741","±3,378",3.70%,±0.1
        80 to 84 years,"185,157","±6,945",2.50%,±0.1,"83,251","±3,866",2.20%,±0.1,"101,906","±4,704",2.70%,±0.1,"186,379","±6,037",1.70%,±0.1,"79,515","±3,876",1.50%,±0.1,"106,864","±4,213",1.90%,±0.1,"226,160","±6,198",2.30%,±0.1,"93,732","±3,108",1.90%,±0.1,"132,428","±4,920",2.60%,±0.1,"66,710","±3,889",2.10%,±0.1,"30,685","±2,635",1.90%,±0.2,"36,025","±2,644",2.30%,±0.2,"220,658","±6,896",2.00%,±0.1,"93,593","±4,565",1.80%,±0.1,"127,065","±4,741",2.30%,±0.1,"307,085","±7,315",2.40%,±0.1,"128,246","±4,680",2.00%,±0.1,"178,839","±4,819",2.70%,±0.1,"130,416","±3,913",2.20%,±0.1,"56,707","±2,462",1.90%,±0.1,"73,709","±3,066",2.50%,±0.1
