,AZ,,,,,,,,,,,,GA,,,,,,,,,,,,MI,,,,,,,,,,,,NV,,,,,,,,,,,,NC,,,,,,,,,,,,PA,,,,,,,,,,,,WI,,,,,,,,,,,
Label (Grouping),Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error
Total population,"7,431,344",*****,(X),(X),"3,708,672","±2,905",(X),(X),"3,722,672","±2,905",(X),(X),"11,029,227",*****,(X),(X),"5,378,504","±7,549",(X),(X),"5,650,723","±7,549",(X),(X),"10,037,261",*****,(X),(X),"4,965,517","±4,782",(X),(X),"5,071,744","±4,782",(X),(X),"3,194,176",*****,(X),(X),"1,607,494","±2,547",(X),(X),"1,586,682","±2,547",(X),(X),"10,835,491",*****,(X),(X),"5,312,054","±7,257",(X),(X),"5,523,437","±7,257",(X),(X),"12,961,683",*****,(X),(X),"6,389,335","±4,098",(X),(X),"6,572,348","±4,098",(X),(X),"5,910,955",*****,(X),(X),"2,959,408","±3,694",(X),(X),"2,951,547","±3,694",(X),(X)
    AGE,,,,,,,,,GA+Z1:AI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        85 years and over,"139,098","±5,869",1.90%,±0.1,"54,484","±3,096",1.50%,±0.1,"84,614","±4,462",2.30%,±0.1,"146,322","±5,569",1.30%,±0.1,"50,685","±3,218",0.90%,±0.1,"95,637","±4,347",1.70%,±0.1,"195,250","±6,011",1.90%,±0.1,"71,966","±3,469",1.40%,±0.1,"123,284","±3,978",2.40%,±0.1,"43,530","±3,409",1.40%,±0.1,"18,050","±2,061",1.10%,±0.1,"25,480","±2,693",1.60%,±0.2,"177,976","±6,658",1.60%,±0.1,"62,118","±3,318",1.20%,±0.1,"115,858","±4,955",2.10%,±0.1,"298,322","±7,776",2.30%,±0.1,"104,668","±4,374",1.60%,±0.1,"193,654","±6,064",2.90%,±0.1,"117,337","±4,991",2.00%,±0.1,"45,813","±2,875",1.50%,±0.1,"71,524","±3,275",2.40%,±0.1
    SELECTED AGE CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        18 to 24 years,"701,011","±2,509",9.40%,±0.1,"361,955","±2,027",9.80%,±0.1,"339,056","±1,476",9.10%,±0.1,"1,046,760","±9,596",9.50%,±0.1,"535,734","±6,310",10.00%,±0.1,"511,026","±5,686",9.00%,±0.1,"918,934","±4,861",9.20%,±0.1,"467,201","±2,967",9.40%,±0.1,"451,733","±3,203",8.90%,±0.1,"256,407","±2,757",8.00%,±0.1,"133,043","±2,093",8.30%,±0.1,"123,364","±1,574",7.80%,±0.1,"1,025,440","±7,809",9.50%,±0.1,"530,862","±5,875",10.00%,±0.1,"494,578","±5,124",9.00%,±0.1,"1,166,048","±4,449",9.00%,±0.1,"588,480","±3,301",9.20%,±0.1,"577,568","±2,731",8.80%,±0.1,"550,661","±4,144",9.30%,±0.1,"279,072","±2,654",9.40%,±0.1,"271,589","±2,698",9.20%,±0.1
        15 to 44 years,"2,969,035","±4,025",40.00%,±0.1,"1,530,613","±3,314",41.30%,±0.1,"1,438,422","±2,794",38.60%,±0.1,"4,527,736","±11,645",41.10%,±0.1,"2,246,820","±8,455",41.80%,±0.1,"2,280,916","±7,354",40.40%,±0.1,"3,850,742","±4,159",38.40%,±0.1,"1,951,665","±3,358",39.30%,±0.1,"1,899,077","±4,127",37.40%,±0.1,"1,285,066","±3,203",40.20%,±0.1,"659,545","±2,236",41.00%,±0.1,"625,521","±2,191",39.40%,±0.1,"4,302,044","±10,512",39.70%,±0.1,"2,157,854","±7,369",40.60%,±0.1,"2,144,190","±7,703",38.80%,±0.1,"4,957,843","±5,688",38.20%,±0.1,"2,509,787","±4,337",39.30%,±0.1,"2,448,056","±4,953",37.20%,±0.1,"2,278,089","±4,676",38.50%,±0.1,"1,160,888","±3,735",39.20%,±0.1,"1,117,201","±3,884",37.90%,±0.1
        16 years and over,"6,049,109","±5,095",81.40%,±0.1,"3,002,680","±4,730",81.00%,±0.1,"3,046,429","±4,137",81.80%,±0.1,"8,818,867","±7,395",80.00%,±0.1,"4,248,453","±7,005",79.00%,±0.1,"4,570,414","±6,323",80.90%,±0.1,"8,186,295","±5,916",81.60%,±0.1,"4,023,816","±4,586",81.00%,±0.1,"4,162,479","±5,036",82.10%,±0.1,"2,594,279","±3,364",81.20%,±0.1,"1,300,220","±2,994",80.90%,±0.2,"1,294,059","±2,882",81.60%,±0.2,"8,792,430","±7,482",81.10%,±0.1,"4,251,335","±6,035",80.00%,±0.1,"4,541,095","±5,868",82.20%,±0.1,"10,658,635","±5,710",82.20%,±0.1,"5,208,362","±4,720",81.50%,±0.1,"5,450,273","±4,830",82.90%,±0.1,"4,822,901","±4,233",81.60%,±0.1,"2,401,731","±4,009",81.20%,±0.1,"2,421,170","±3,651",82.00%,±0.1
        18 years and over,"5,851,265",±967,78.70%,±0.1,"2,899,702","±1,575",78.20%,±0.1,"2,951,563","±1,340",79.30%,±0.1,"8,494,879","±2,976",77.00%,±0.1,"4,080,457","±4,499",75.90%,±0.1,"4,414,422","±3,582",78.10%,±0.1,"7,926,790","±1,672",79.00%,±0.1,"3,887,282","±2,778",78.30%,±0.1,"4,039,508","±2,792",79.60%,±0.1,"2,509,660",±802,78.60%,±0.1,"1,256,922","±1,563",78.20%,±0.1,"1,252,738","±1,650",79.00%,±0.1,"8,512,992","±3,065",78.60%,±0.1,"4,105,815","±4,494",77.30%,±0.1,"4,407,177","±3,832",79.80%,±0.1,"10,337,054","±1,375",79.80%,±0.1,"5,042,655","±2,288",78.90%,±0.1,"5,294,399","±2,386",80.60%,±0.1,"4,666,877","±1,928",79.00%,±0.1,"2,319,016","±2,817",78.40%,±0.1,"2,347,861","±2,630",79.50%,±0.1
        21 years and over,"5,553,078","±6,602",74.70%,±0.1,"2,744,892","±5,345",74.00%,±0.1,"2,808,186","±4,894",75.40%,±0.1,"8,037,936","±10,558",72.90%,±0.1,"3,844,649","±7,084",71.50%,±0.2,"4,193,287","±7,537",74.20%,±0.1,"7,538,746","±7,934",75.10%,±0.1,"3,687,954","±6,518",74.30%,±0.2,"3,850,792","±5,501",75.90%,±0.1,"2,404,607","±4,107",75.30%,±0.1,"1,201,051","±3,276",74.70%,±0.2,"1,203,556","±3,030",75.90%,±0.2,"8,057,665","±10,598",74.40%,±0.1,"3,874,452","±8,737",72.90%,±0.2,"4,183,213","±6,568",75.70%,±0.1,"9,803,793","±7,932",75.60%,±0.1,"4,776,603","±5,218",74.80%,±0.1,"5,027,190","±5,939",76.50%,±0.1,"4,432,759","±7,223",75.00%,±0.1,"2,199,076","±4,679",74.30%,±0.2,"2,233,683","±5,257",75.70%,±0.2
        60 years and over,"1,905,562","±9,845",25.60%,±0.1,"892,184","±6,124",24.10%,±0.2,"1,013,378","±6,195",27.20%,±0.2,"2,370,455","±12,709",21.50%,±0.1,"1,072,793","±7,388",19.90%,±0.1,"1,297,662","±8,543",23.00%,±0.2,"2,629,520","±7,939",26.20%,±0.1,"1,220,550","±7,135",24.60%,±0.1,"1,408,970","±6,077",27.80%,±0.1,"757,348","±4,644",23.70%,±0.1,"364,080","±3,839",22.60%,±0.2,"393,268","±3,607",24.80%,±0.2,"2,610,422","±11,974",24.10%,±0.1,"1,183,130","±8,090",22.30%,±0.2,"1,427,292","±7,241",25.80%,±0.1,"3,499,469","±12,007",27.00%,±0.1,"1,608,531","±8,822",25.20%,±0.1,"1,890,938","±6,722",28.80%,±0.1,"1,552,580","±6,304",26.30%,±0.1,"736,967","±4,466",24.90%,±0.1,"815,613","±4,151",27.60%,±0.1
        62 years and over,"1,713,108","±8,083",23.10%,±0.1,"797,676","±5,207",21.50%,±0.1,"915,432","±5,827",24.60%,±0.2,"2,098,607","±10,686",19.00%,±0.1,"940,159","±6,298",17.50%,±0.1,"1,158,448","±8,543",20.50%,±0.2,"2,352,480","±7,702",23.40%,±0.1,"1,087,330","±5,800",21.90%,±0.1,"1,265,150","±6,271",24.90%,±0.1,"677,990","±5,132",21.20%,±0.2,"322,772","±4,003",20.10%,±0.2,"355,218","±3,147",22.40%,±0.2,"2,324,497","±10,633",21.50%,±0.1,"1,043,874","±7,284",19.70%,±0.1,"1,280,623","±6,765",23.20%,±0.1,"3,143,340","±11,472",24.30%,±0.1,"1,432,906","±8,172",22.40%,±0.1,"1,710,434","±6,923",26.00%,±0.1,"1,383,652","±6,467",23.40%,±0.1,"653,018","±4,630",22.10%,±0.1,"730,634","±4,592",24.80%,±0.2
        65 years and over,"1,437,731","±1,997",19.30%,±0.1,"663,776","±1,174",17.90%,±0.1,"773,955","±1,606",20.80%,±0.1,"1,699,250","±4,960",15.40%,±0.1,"749,389","±3,189",13.90%,±0.1,"949,861","±3,122",16.80%,±0.1,"1,932,225","±2,433",19.30%,±0.1,"882,259","±1,679",17.80%,±0.1,"1,049,966","±1,751",20.70%,±0.1,"554,859","±1,915",17.40%,±0.1,"261,954","±1,427",16.30%,±0.1,"292,905","±1,212",18.50%,±0.1,"1,915,356","±4,381",17.70%,±0.1,"848,935","±3,458",16.00%,±0.1,"1,066,421","±3,107",19.30%,±0.1,"2,597,954","±2,676",20.00%,±0.1,"1,164,749","±1,617",18.20%,±0.1,"1,433,205","±1,907",21.80%,±0.1,"1,133,395","±2,918",19.20%,±0.1,"530,667","±2,176",17.90%,±0.1,"602,728","±1,682",20.40%,±0.1
        75 years and over,"629,499","±2,078",8.50%,±0.1,"286,949","±1,271",7.70%,±0.1,"342,550","±1,336",9.20%,±0.1,"668,186","±3,445",6.10%,±0.1,"276,134","±2,658",5.10%,±0.1,"392,052","±2,957",6.90%,±0.1,"772,225","±2,638",7.70%,±0.1,"330,473","±1,785",6.70%,±0.1,"441,752","±1,579",8.70%,±0.1,"222,441","±1,077",7.00%,±0.1,"103,058",±796,6.40%,±0.1,"119,383",±757,7.50%,±0.1,"773,636","±3,821",7.10%,±0.1,"323,905","±2,828",6.10%,±0.1,"449,731","±2,574",8.10%,±0.1,"1,087,370","±2,880",8.40%,±0.1,"448,292","±1,890",7.00%,±0.1,"639,078","±1,953",9.70%,±0.1,"448,710","±1,874",7.60%,±0.1,"195,736","±1,248",6.60%,±0.1,"252,974","±1,272",8.60%,±0.1
    SUMMARY INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Median age (years),39.3,±0.2,(X),(X),38,±0.2,(X),(X),40.6,±0.2,(X),(X),37.9,±0.2,(X),(X),36.4,±0.2,(X),(X),39.1,±0.2,(X),(X),40.5,±0.2,(X),(X),39.3,±0.2,(X),(X),41.6,±0.2,(X),(X),39.4,±0.2,(X),(X),38.9,±0.2,(X),(X),40.1,±0.3,(X),(X),39.4,±0.2,(X),(X),37.8,±0.1,(X),(X),41,±0.2,(X),(X),41.1,±0.1,(X),(X),39.8,±0.2,(X),(X),42.4,±0.1,(X),(X),40.5,±0.1,(X),(X),39.6,±0.2,(X),(X),41.4,±0.2,(X),(X)
        Sex ratio (males per 100 females),99.6,±0.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),95.2,±0.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),97.9,±0.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),101.3,±0.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),96.2,±0.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),97.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),100.3,±0.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age dependency ratio,68.4,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),62.3,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),67.4,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),63.4,±0.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),64.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),67.5,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),67.3,±0.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Old-age dependency ratio,32.6,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.1,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Child dependency ratio,35.8,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Sex,(X),(X),0.10%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.10%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.10%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.10%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age,(X),(X),1.80%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.70%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.60%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.50%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.90%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
